Introduction	序章
"I can grow enough on this little plot to feed my family and the village. You should see this field during the summer." 	"I can grow enough on this little plot to feed my family and the village. You should see this field during the summer." 
"There is much work for me to do now and I bid you good day."	"There is much work for me to do now and I bid you good day."
"In a couple of months, I'll have some cherries.  The apples won't ripen until fall."	"In a couple of months, I'll have some cherries.  The apples won't ripen until fall."
"We grow fine fruit in our little orchard and sell it at our stand in town."	"We grow fine fruit in our little orchard and sell it at our stand in town."
"There you will find fresh cherries in the spring, peaches in summer, and apples in the fall."	"There you will find fresh cherries in the spring, peaches in summer, and apples in the fall."
"It is truly a sight to see."	"It is truly a sight to see."
"The Healer lives just east of here.  She is very skilled with potions."	"The Healer lives just east of here.  She is very skilled with potions."
"Hilde is a bright little filly.  I'm very proud of her."	"Hilde is a bright little filly.  I'm very proud of her."
"The leader came up after the brigands attacked me and forced them to stop, ordering them not to hurt people from the town."	"The leader came up after the brigands attacked me and forced them to stop, ordering them not to hurt people from the town."
"Then, to my amazement, the leader gave me a healing potion and had me carried to the Healer's house."	"Then, to my amazement, the leader gave me a healing potion and had me carried to the Healer's house."
"It was hard to judge the leader, whose face was obscured by a large helm, but there was compassion unlike what one expects from a brigand."  	"It was hard to judge the leader, whose face was obscured by a large helm, but there was compassion unlike what one expects from a brigand."  
"Our stand is in the northeast corner of Spielburg."	"Our stand is in the northeast corner of Spielburg."
"The produce is not of the finest this time of year, but you will not find better than Pferdefedern fruit come harvest time."	"The produce is not of the finest this time of year, but you will not find better than Pferdefedern fruit come harvest time."
"I am Heinrich Pferdefedern.  I live in town with my daughter Hilde who sells our produce on Market Street."	"I am Heinrich Pferdefedern.  I live in town with my daughter Hilde who sells our produce on Market Street."
"There are a few carrots and potatoes left from last season, but I'm just starting to plant the crops now."	"There are a few carrots and potatoes left from last season, but I'm just starting to plant the crops now."
"You must go see my daughter, Hilde, who sells our fruits and vegetables on Market Street."	"You must go see my daughter, Hilde, who sells our fruits and vegetables on Market Street."
Looking at the Centaur's muscles, his  hoe, and his four gleaming hooves, you get the feeling that it might not be the best of ideas.  Besides, he reminds you of your old friend Flicka. 	Looking at the Centaur's muscles, his  hoe, and his four gleaming hooves, you get the feeling that it might not be the best of ideas.  Besides, he reminds you of your old friend Flicka. 
You have no reason to hurt the Centaur.  Put that rock away!	You have no reason to hurt the Centaur.  Put that rock away!
This tree will never bear fruit. 	This tree will never bear fruit. 
It's a pine tree. 	It's a pine tree. 
Three pots wait for the day when they will hold dirt and flowers.  	Three pots wait for the day when they will hold dirt and flowers.  
It is a sturdy iron rake with a wooden handle.	It is a sturdy iron rake with a wooden handle.
Fields must be carefully tended to produce the best crops.	Fields must be carefully tended to produce the best crops.
The Centaur turns toward you.	The Centaur turns toward you.
Noticing that you are addressing him, the Centaur stops and gives you his attention.	Noticing that you are addressing him, the Centaur stops and gives you his attention.
The Centaur stops raking as you approach.	The Centaur stops raking as you approach.
The forest surrounds the farmer's small fields and orchard.  The crops have yet to be planted.  There are only a few weeds and some grasses at the edge of the forest.	The forest surrounds the farmer's small fields and orchard.  The crops have yet to be planted.  There are only a few weeds and some grasses at the edge of the forest.
To the east, you can see a small house.  To the west, you see the forest. To the north, beyond the farmer's orchard, you can see the forest. 	To the east, you can see a small house.  To the west, you see the forest. To the north, beyond the farmer's orchard, you can see the forest. 
The field is hoed and fertilized.	The field is hoed and fertilized.
The evening is clear and the stars are bright.  Dark clouds pass over the moon.	The evening is clear and the stars are bright.  Dark clouds pass over the moon.
The sky is a piercing blue with scudding white clouds.	The sky is a piercing blue with scudding white clouds.
The garden's dark dirt awaits a new day's sunshine.	The garden's dark dirt awaits a new day's sunshine.
You see a nicely manicured field.  A Centaur rakes the rows.	You see a nicely manicured field.  A Centaur rakes the rows.
The farmer has painstakingly removed all the rocks from his fields.	The farmer has painstakingly removed all the rocks from his fields.
"The late snow has made the mountains very pretty.  Fortunately, our valley is sheltered, so the frost has not come to my fields."  	"The late snow has made the mountains very pretty.  Fortunately, our valley is sheltered, so the frost has not come to my fields."  
